1,"Acarbosum","Adeksa, tabl. , 100 mg","30 tabl.",5909990893423,41030,"2 lata","17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza",10.44,11.17,14.9,14.9,"Cukrzyca",,0.3,4.47
2,"Acarbosum","Glucobay 100, tabl. , 100 mg","30 tabl.",5909990285518,40909,"2 lata","17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza",13.93,14.91,18.65,14.9,"Cukrzyca",,0.3,8.22
3,"Acarbosum","Glucobay 50, tabl. , 50 mg","30 tabl.",5909990285419,40909,"2 lata","17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza",11.02,11.79,13.97,7.45,"Cukrzyca",,0.3,8.76
4,"Acarbosum","Glucobay 50, tabl. , 50 mg","90 tabl.",5909990335541,40909,"2 lata","17.0, Doustne leki przeciwcukrzycowe - inhibitory alfaglukozydazy - akarboza",32.94,35.25,40.1,22.35,"Cukrzyca",,0.3,24.46
5,"Acebutololum","Sectral 200, tabl. powl., 200 mg","30 tabl.",5909990109920,"2012-01-01 – dla kolumny M, 2012-03-01 – dla kolumny N","2 lata","40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",8.36,8.95,10.54,5.41,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","Nadciśnienie tętnicze u dzieci do 18 roku życia","ryczałt",8.33
6,"Acebutololum","Sectral 400, tabl. powl., 400 mg","30 tabl.",5909990110018,"2012-01-01 – dla kolumny M, 2012-03-01 – dla kolumny N","2 lata","40.0, Leki beta-adrenolityczne - selektywne - do stosowania doustnego",15.74,16.84,19.72,10.82,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","Nadciśnienie tętnicze u dzieci do 18 roku życia","ryczałt",12.1
7,"Acenocoumarolum","Acenocumarol WZF, tabl. , 4 mg","60 tabl.",5909990055715,40909,"2 lata","21.0, Leki przeciwzakrzepowe z grupy antagonistów witaminy K",8.32,8.9,12.07,12.07,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji",,"ryczałt",5.12
8,"Aciclovirum","Hascovir, tabl. , 800 mg","30 tabl. (2 blist.po 15 szt.)",5909990835782,"2012-05-01 – dla kolumny M, 2012-07-01 – dla kolumny N","2 lata","115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego",32.4,34.67,43.33,43.33,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","Leczenie zapobiegawcze u pacjentów po autologicznym lub allogenicznym przeszczepie szpiku; Leczenie profilaktyczne u pacjentów z zaburzeniami odporności lub chorobami rozrostowymi układu krwiotwórczego; Profilaktyka zakażenia wirusami Herpes u biorców przeszczepów ",0.5,21.67
9,"Aciclovirum","Hascovir, tabl. , 200 mg","30 tabl. (2 blist.po 15 szt.)",5909991049515,"2012-01-01 – dla kolumny M, 2012-03-01/2012-07-01 – dla kolumny N","2 lata","115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego",9.9,10.59,14.17,12.57,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","Profilaktyka zakażeń wirusowych u chorych z rozpoznaniem przewlekłej białaczki limfatycznej;Leczenie i profilaktyka zakażeń EBV i CMV - u dzieci do 18 roku życia; Leczenie zapobiegawcze u pacjentów po autologicznym lub allogenicznym przeszczepie szpiku; Leczenie profilaktyczne u pacjentów z zaburzeniami odporności lub chorobami rozrostowymi układu krwiotwórczego; Profilaktyka zakażenia wirusami Herpes u biorców przeszczepów ",0.5,7.89
10,"Aciclovirum","Hascovir, tabl. , 400 mg","30 tabl. (2 blist.po 15 szt.)",5909991052218,"2012-01-01 – dla kolumny M, 2012-03-01/2012-07-01 – dla kolumny N","2 lata","115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego",16.76,17.93,23.55,23.55,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","Profilaktyka zakażeń wirusowych u chorych z rozpoznaniem przewlekłej białaczki limfatycznej;Leczenie i profilaktyka zakażeń EBV i CMV - u dzieci do 18 roku życia; Leczenie zapobiegawcze u pacjentów po autologicznym lub allogenicznym przeszczepie szpiku; Leczenie profilaktyczne u pacjentów z zaburzeniami odporności lub chorobami rozrostowymi układu krwiotwórczego; Profilaktyka zakażenia wirusami Herpes u biorców przeszczepów ",0.5,11.78
11,"Aciclovirum","Heviran, tabl. powl., 200 mg","30 tabl. (3 blist.po 10 szt.)",5909990840014,"2012-01-01 – dla kolumny M, 2012-03-01/2012-07-01 – dla kolumny N","2 lata","115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego",12.1,12.95,16.53,12.57,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","Profilaktyka zakażeń wirusowych u chorych z rozpoznaniem przewlekłej białaczki limfatycznej;Leczenie i profilaktyka zakażeń EBV i CMV - u dzieci do 18 roku życia; Leczenie zapobiegawcze u pacjentów po autologicznym lub allogenicznym przeszczepie szpiku; Leczenie profilaktyczne u pacjentów z zaburzeniami odporności lub chorobami rozrostowymi układu krwiotwórczego; Profilaktyka zakażenia wirusami Herpes u biorców przeszczepów ",0.5,10.25
12,"Aciclovirum","Heviran, tabl. powl., 400 mg","30 tabl. (3 blist.po 10 szt.)",5909990840113,"2012-01-01 – dla kolumny M, 2012-03-01/2012-07-01 – dla kolumny N","2 lata","115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego",21.6,23.11,28.73,25.13,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","Profilaktyka zakażeń wirusowych u chorych z rozpoznaniem przewlekłej białaczki limfatycznej;Leczenie i profilaktyka zakażeń EBV i CMV - u dzieci do 18 roku życia; Leczenie zapobiegawcze u pacjentów po autologicznym lub allogenicznym przeszczepie szpiku; Leczenie profilaktyczne u pacjentów z zaburzeniami odporności lub chorobami rozrostowymi układu krwiotwórczego; Profilaktyka zakażenia wirusami Herpes u biorców przeszczepów ",0.5,16.17
13,"Aciclovirum","Heviran, tabl. powl., 800 mg","30 tabl. (3 blist.po 10 szt.)",5909990840229,"2012-01-01 – dla kolumny M, 2012-03-01/2012-07-01 – dla kolumny N","2 lata","115.2, Leki przeciwwirusowe - acyklowir - postacie do stosowania doustnego",38.88,41.6,50.26,50.26,"We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji","Profilaktyka zakażeń wirusowych u chorych z rozpoznaniem przewlekłej białaczki limfatycznej;Leczenie i profilaktyka zakażeń EBV i CMV - u dzieci do 18 roku życia; Leczenie zapobiegawcze u pacjentów po autologicznym lub allogenicznym przeszczepie szpiku; Leczenie profilaktyczne u pacjentów z zaburzeniami odporności lub chorobami rozrostowymi układu krwiotwórczego; Profilaktyka zakażenia wirusami Herpes u biorców przeszczepów ",0.5,25.13
